text,text_lemmatize
a better theory is like how an ants or whatever are working or somthing couse you can wach videos,a well theory be like how an ant or whatever be work or somthe couse -PRON- can wach video
my theory do you know energy carries all the time right now energy is being carried from a plant to little animal to big animal back to little animal to soil and it repeats agian and again,-PRON- theory do -PRON- know energy carry all the time right now energy be be carry from a plant to little animal to big animal back to little animal to soil and -PRON- repeat agian and again
my theory i think worker ants do most of the work the worker ants would be building the ant hill i agree that the ant hills would be made out of dirt too,-PRON- theory i think worker ant do most of the work the worker ant would be build the ant hill i agree that the ant hill would be make out of dirt too
my theory if ants build ant houses and they carrie the grains of sand wont they fall of,-PRON- theory if ant build ant house and -PRON- carrie the grain of sand will not -PRON- fall of
my theory if you need any ideas dont water the ants ants could die if waters hits ants build just a few ant hills because thousands of ants live in one ant hill,-PRON- theory if -PRON- need any idea do not water the ant ant could die if water hit ant build just a few ant hill because thousand of ant live in one ant hill
my theory is i think if you wanna see if it is a living it has to grow somthing and need water to live new information a non living thing does not need water to survive,-PRON- theory be i think if -PRON- wanna see if -PRON- be a living -PRON- have to grow somthe and need water to live new information a non living thing do not need water to survive
my theory is if a venomous or poisonous animal eats another venomous or poisonous animal some will survive and some will maybe die some animals eat venomous or poisonous animal as a food sourse but maybe another animal cant survive it,-PRON- theory be if a venomous or poisonous animal eat another venomous or poisonous animal some will survive and some will maybe die some animal eat venomous or poisonous animal as a food sourse but maybe another animal can not survive -PRON-
my theory is if you crush a seed and give it water soil and sun it will grow,-PRON- theory be if -PRON- crush a seed and give -PRON- water soil and sun -PRON- will grow
my theory is it flips over,-PRON- theory be -PRON- flip over
my theory is many apples rot because the weather is changing,-PRON- theory be many apple rot because the weather be change
my theory is maybe that the male might become king of the ants,-PRON- theory be maybe that the male may become king of the ant
my theory is over time i think that the stem of the apple gets weaker and weaker and sometimes the wind might blow the apple off the tree and probably some animals nock them off too,-PRON- theory be over time i think that the stem of the apple get weak and weak and sometimes the wind may blow the apple off the tree and probably some animal nock -PRON- off too
my theory is that a bird or animal flys over and drops it into the courtyard and then lays eggs that make more spider which make more and more and more until they go exsticked or the eco system dies,-PRON- theory be that a bird or animal fly over and drop -PRON- into the courtyard and then lay egg that make more spider which make more and more and more until -PRON- go exsticke or the eco system die
my theory is that air works to clean up are ecostyem by blowing dead leaves away or to barry it,-PRON- theory be that air work to clean up be ecostyem by blow dead leave away or to barry -PRON-
my theory is that an anthill is prepared by worker ants that are strong like not ants that are just born a better theory is that the queen ant could get a part of a different colony who the queen says in ant language could say build me an anthill,-PRON- theory be that an anthill be prepare by worker ant that be strong like not ant that be just bear a well theory be that the queen ant could get a part of a different colony who the queen say in ant language could say build -PRON- an anthill
my theory is that animanles clime under ground to the court yard and eat bugs and frogs other animales to how do all those other animanles,-PRON- theory be that animanle clime under ground to the court yard and eat bug and frog other animale to how do all those other animanle
my theory is that birds carry them over,-PRON- theory be that bird carry -PRON- over
my theory is that i usually see moss on the dark areas of trees so i am thinking it forms on dark areas i also think it forms when its dewy and wet,-PRON- theory be that i usually see moss on the dark area of tree so i be think -PRON- form on dark area i also think -PRON- form when -PRON- dewy and wet
my theory is that if a predetor is close it will turn over to blend in,-PRON- theory be that if a predetor be close -PRON- will turn over to blend in
my theory is that if moss dies out then it will create a problem wave in the ecosydom many animals will die and plants will to because it provides water on those hot days when there is no water,-PRON- theory be that if moss die out then -PRON- will create a problem wave in the ecosydom many animal will die and plant will to because -PRON- provide water on those hot day when there be no water
my theory is that it will still live but it cant do thing as fast it will walk way slower and it may die because it cant get to food on time,-PRON- theory be that -PRON- will still live but -PRON- can not do thing as fast -PRON- will walk way slower and -PRON- may die because -PRON- can not get to food on time
my theory is that jaguars dont really eat chimpanzees and that people from africa dont kill and eat jaguars but i think that chimpanzees might eat ants good work overall,-PRON- theory be that jaguar do not really eat chimpanzee and that people from africa do not kill and eat jaguar but i think that chimpanzee may eat ant good work overall
my theory is that mabye  grass hoppers went arcross the top of the building and had a lot of kids grass hoppers and thats how this theory cannot explain how the grass hoppers made it across,-PRON- theory be that mabye   grass hopper go arcross the top of the building and have a lot of kid grass hopper and that s how this theory can not explain how the grass hopper make -PRON- across
my theory is that maybe plantsmake food the roots also need air so they can get nutrients and plants need air they use the carbon dioxide in the air for water because there is  of water in air it is called photosynthesis some info from google ,-PRON- theory be that maybe plantsmake food the root also need air so -PRON- can get nutrient and plant need air -PRON- use the carbon dioxide in the air for water because there be   of water in air -PRON- be call photosynthesis some info from google
new information all ants have different jobs as they grow they get darker ants go faster since they have tiny legs there can be a thousands of ants in a anthill if a ant get feed the right things they can be a queen,new information all ant have different job as -PRON- grow -PRON- get dark ant go faster since -PRON- have tiny leg there can be a thousand of ant in a anthill if a ant get feed the right thing -PRON- can be a queen
new information almost every ecosystem needs soil for their environment soil is a massive help towards growing plants and being homes towards many insects without soil plants wouldnt grow and the food web would go wack without all the producers plants,new information almost every ecosystem need soil for -PRON- environment soil be a massive help towards grow plant and be home towards many insect without soil plant would not grow and the food web would go wack without all the producer plant
new information almost every ecosystem needs water to grow its enviornment and its whole species every animal needs water plants need it in order to grow too without plants in the food chain it would go wack making a species over populated and then go extinct,new information almost every ecosystem need water to grow -PRON- enviornment and -PRON- whole specie every animal need water plant need -PRON- in order to grow too without plant in the food chain -PRON- would go wack make a species over populate and then go extinct
new information i learned is that abiotic means decomposition by a chemical process and that biotic means decomposition of living orgonisms,new information i learn be that abiotic mean decomposition by a chemical process and that biotic mean decomposition of living orgonism
new information peat is formed by decaying moss and plants this is important because peat is a fuel it can be used for fertilizer burn for fuel and eventually it becomes coal,new information peat be form by decay moss and plant this be important because peat be a fuel -PRON- can be use for fertilizer burn for fuel and eventually -PRON- become coal
new information the sun provides humankind with light and heat to create new earth habitate it also provides plants to grow to help the food chain sunlight also helps with weather which weather helps ecosystems too sunlight can cause droughts when there is less rain and intense rain,new information the sun provide humankind with light and heat to create new earth habitate -PRON- also provide plant to grow to help the food chain sunlight also help with weather which weather help ecosystem too sunlight can cause drought when there be less rain and intense rain
new information you can tell how old a tree is if you cut it open a bit you see circles  circle for every year,new information -PRON- can tell how old a tree be if -PRON- cut -PRON- open a bit -PRON- see circle   circle for every year
new information when ants die the other ants leave it alone but after two days they carry it to the ant graveyard they do this because after two days it starts to smell which gives signals to the ants that it is dead,new information when ant die the other ant leave -PRON- alone but after two day -PRON- carry -PRON- to the ant graveyard -PRON- do this because after two day -PRON- start to smell which give signal to the ant that -PRON- be dead
blockquote i learned that the food chain is what connects animals my theory is that the food chain is in regions because pandas are only in asia so something in antarica cant eat it a better theory i have is that somehing in both places can connect them mabey something that live in one place gets eaten by something tat lives there and in another place and that animal gets eaten by anther animal blockquote,blockquote i learn that the food chain be what connect animal -PRON- theory be that the food chain be in region because panda be only in asia so something in antarica can not eat -PRON- a well theory i have be that somehe in both place can connect -PRON- mabey something that live in one place get eat by something tat live there and in another place and that animal get eat by anther animal blockquote
a plant can grow without real sunlight but if you dont have real sunlight it has to grow withartificial sunlight lamp light night light but a plant can not grow without sunlight,a plant can grow without real sunlight but if -PRON- do not have real sunlight -PRON- have to grow withartificial sunlight lamp light night light but a plant can not grow without sunlight
a species is a group of organisms that are so alike they classify as a group to be a type of species the organisms have to be able to reproduce for example a mule is not a species because it is not able to reproduce,a species be a group of organism that be so alike -PRON- classify as a group to be a type of specie the organism have to be able to reproduce for example a mule be not a species because -PRON- be not able to reproduce
air water sunlight wind water makes clouds and if you add too much wind youll make a thunderstorm or atornado,air water sunlight wind water make cloud and if -PRON- add too much wind -PRON- will make a thunderstorm or atornado
all moss needs to havespores to live causethat is how water and air gets into the mossor the plant,all moss need to havespore to live causethat be how water and air get into the mossor the plant
all plants usesunlightto make food sugars in a process called photosynthesis,all plant usesunlightto make food sugar in a process call photosynthesis
another reason why living things need energy is because if you don´t eat you can starve and cannot live,another reason why live thing need energy be because if -PRON- don´t eat -PRON- can starve and can not live
ants are super strong so they dig the hole quiqly even after it gets destroyed,ant be super strong so -PRON- dig the hole quiqly even after -PRON- get destroy
apples fall off the trees in winter because they get weak,apple fall off the tree in winter because -PRON- get weak
atoms are small particles building blocks that are everywhere they are made up of a central dense nucleus which is surrounded by one or some more lightweight negativity charged particles that are called electrons,atom be small particle build block that be everywhere -PRON- be make up of a central dense nucleus which be surround by one or some more lightweight negativity charge particle that be call electron
carbon is everything without carbon there would be no universe,carbon be everything without carbon there would be no universe
decomposersbreak down the remains of dead plants and animals and in doing so releasecarbon dioxidethrough respiration,decomposersbreak down the remain of dead plant and animal and in do so releasecarbon dioxidethrough respiration
energy can come from the sun and fossil fules and the suns energy is the main source of life like the plants convert it into food for them and then an anamail comes along and eats the plant and absobs the energy,energy can come from the sun and fossil fule and the sun energy be the main source of life like the plant convert -PRON- into food for -PRON- and then an anamail come along and eat the plant and absobs the energy
first apple trees need sun light to grow and the rain then it keeps growing and growing untill it becomes a big apple tree with tasty apples on it,first apple tree need sun light to grow and the rain then -PRON- keep grow and grow untill -PRON- become a big apple tree with tasty apple on -PRON-
flamingos are born gray but they eat a type of plant and a type of mineral in the plant turns the flamigo pink it should be the same with ants,flamingo be bear gray but -PRON- eat a type of plant and a type of mineral in the plant turn the flamigo pink -PRON- should be the same with ant
i agree with varsha becasue i onlny see moss on tree bark and the ground dirt,i agree with varsha becasue i onlny see moss on tree bark and the ground dirt
i agree with you because trees and plants can not live with out chlorophyll,i agree with -PRON- because tree and plant can not live with out chlorophyll
i also think that the moss grows to the north because the north is colder and moss usually grows in cool and wet conditions,i also think that the moss grow to the north because the north be cold and moss usually grow in cool and wet condition
i also think that the moss is effected by the tree position,i also think that the moss be effect by the tree position
i can add on to that beacuse when the weather is putting the pressure on to the apple and making it fall off the tree its like when someone were to push you off the edge of a pool the pressure of the person pushing you is putting impact on your boby and therefore making you fall into the pool also i agree with you saying that if a person were sick its like an apple slowly rotting because it dosnt have the nutrients to grow off of,i can add on to that beacuse when the weather be put the pressure on to the apple and make -PRON- fall off the tree -PRON- like when someone be to push -PRON- off the edge of a pool the pressure of the person push -PRON- be put impact on -PRON- boby and therefore make -PRON- fall into the pool also i agree with -PRON- say that if a person be sick -PRON- like an apple slowly rot because -PRON- dosnt have the nutrient to grow off of
i can add on to that because when weather puts the pressure on the matter it can make it transfer into a different shape or fall apart like if there was a tsunami the waves are so strong that they can make houses and buildings fall apart and it can squish cars and make them flat or put them into a different shape or like when you pour water into a cup it takes the form of the cup,i can add on to that because when weather put the pressure on the matter -PRON- can make -PRON- transfer into a different shape or fall apart like if there be a tsunami the wave be so strong that -PRON- can make house and building fall apart and -PRON- can squish car and make -PRON- flat or put -PRON- into a different shape or like when -PRON- pour water into a cup -PRON- take the form of the cup
i dissigry they carry sand one by one i think,i dissigry -PRON- carry sand one by one i think
i dont think plants have energy i think they have nurtrients that turns in to fuel energy for the thing thats eats them,i do not think plant have energy i think -PRON- have nurtrient that turn in to fuel energy for the thing that s eat -PRON-
